Fiscal Year,Total Revenue (KShs M),EBITDA (KShs M),Operating Profit (KShs M),Profit Before Tax (KShs M),Net Profit (KShs M)
2023.0,310904.8,139862.4,84997.4,88345.2,52482.8
2024.0,349447.2,163292.6,80344.8,84687.4,42658.4
2025.0,388688.9,172150.9,104050.1,93210.5,45757.2
